queryID, query, similarity
32,"""vulnerability"" ""sexual education"" -is:retweet -is:quote -is:reply",0.5570702739192175
33,"""vulnerability"" ""activities"" -is:retweet -is:quote -is:reply",0.544713325288257
34,"""vulnerability"" ""activity"" -is:retweet -is:quote -is:reply",0.6192297913627283
35,"""vulnerability"" ""activeness"" -is:retweet -is:quote -is:reply",0.7701461137894596
36,"""vulnerability"" ""bodily process"" -is:retweet -is:quote -is:reply",0.5904968218548163
37,"""vulnerability"" ""body process"" -is:retweet -is:quote -is:reply",0.5406081374118921
38,"""vulnerability"" ""bodily function"" -is:retweet -is:quote -is:reply",0.6323462658172029
39,"""vulnerability"" ""natural process"" -is:retweet -is:quote -is:reply",0.6231117094628166
40,"""vulnerability"" ""natural action"" -is:retweet -is:quote -is:reply",0.6216757438629317
41,"""vulnerability"" ""computer"" -is:retweet -is:quote -is:reply",0.48180486167210507
42,"""vulnerability"" ""computing machine"" -is:retweet -is:quote -is:reply",0.5760580504198746
43,"""vulnerability"" ""computing device"" -is:retweet -is:quote -is:reply",0.6408925875341208
44,"""vulnerability"" ""information processing system"" -is:retweet -is:quote -is:reply",0.6968308235398817
45,"""vulnerability"" ""smartphone"" -is:retweet -is:quote -is:reply",0.354897662620847
46,"""vulnerability"" ""IPhone"" -is:retweet -is:quote -is:reply",0.17918759492814415
47,"""vulnerability"" ""Android"" -is:retweet -is:quote -is:reply",0.2685797837339947
48,"""vulnerability"" ""television"" -is:retweet -is:quote -is:reply",0.2164741138737434
49,"""vulnerability"" ""tv"" -is:retweet -is:quote -is:reply",0
50,"""vulnerability"" ""tv set"" -is:retweet -is:quote -is:reply",0.02551233429179684
51,"""vulnerability"" ""health"" -is:retweet -is:quote -is:reply",0.5429684314091341
52,"""vulnerability"" ""wellness"" -is:retweet -is:quote -is:reply",0.5081669615018708
53,"""vulnerability"" ""noncommunicable disease"" -is:retweet -is:quote -is:reply",0.6263985011232128
54,"""vulnerability"" ""NCD"" -is:retweet -is:quote -is:reply",0.1941144921980869
55,"""vulnerability"" ""chronic disease"" -is:retweet -is:quote -is:reply",0.559018936646704
56,"""vulnerability"" ""disease"" -is:retweet -is:quote -is:reply",0.509405334582957
57,"""vulnerability"" ""chronic respiratory disease"" -is:retweet -is:quote -is:reply",0.5846902069466106
58,"""vulnerability"" ""asthma"" -is:retweet -is:quote -is:reply",0.28738323087928397
59,"""vulnerability"" ""chronic obstructive pulmonary disease"" -is:retweet -is:quote -is:reply",0.6112842986528764
60,"""vulnerability"" ""COPD"" -is:retweet -is:quote -is:reply",0.26188696123078775
61,"""vulnerability"" ""lung cancer"" -is:retweet -is:quote -is:reply",0.35766317607816017
62,"""vulnerability"" ""cystic fibrosis"" -is:retweet -is:quote -is:reply",0.35440671972156407
63,"""vulnerability"" ""sleep apnea"" -is:retweet -is:quote -is:reply",0.20763993483405685
64,"""vulnerability"" ""occupational lung disease"" -is:retweet -is:quote -is:reply",0.5737699033057313
65,"""vulnerability"" ""cancer"" -is:retweet -is:quote -is:reply",0.36879012128681465
66,"""vulnerability"" ""tumor"" -is:retweet -is:quote -is:reply",0.3319266787444126
67,"""vulnerability"" ""carcinoma"" -is:retweet -is:quote -is:reply",0.27317843824800303
68,"""vulnerability"" ""melanoma"" -is:retweet -is:quote -is:reply",0.37458819210793964
69,"""vulnerability"" ""malignancy"" -is:retweet -is:quote -is:reply",0.48850810810632556
70,"""vulnerability"" ""lymphoma"" -is:retweet -is:quote -is:reply",0.21161653516448573
71,"""vulnerability"" ""malignant neoplastic disease"" -is:retweet -is:quote -is:reply",0.5407957038995013
72,"""vulnerability"" ""diabetes"" -is:retweet -is:quote -is:reply",0.34613168156763485
73,"""vulnerability"" ""insulin-dependent"" -is:retweet -is:quote -is:reply",0.3715482632805617
74,"""vulnerability"" ""cardiovascular disease"" -is:retweet -is:quote -is:reply",0.5776614618473408
75,"""vulnerability"" ""heart failure"" -is:retweet -is:quote -is:reply",0.5107494336735567
76,"""vulnerability"" ""heart muscle disease"" -is:retweet -is:quote -is:reply",0.5014779304405964
77,"""vulnerability"" ""cardiomyopathy"" -is:retweet -is:quote -is:reply",0.43319383344567464
78,"""vulnerability"" ""heart valve disease"" -is:retweet -is:quote -is:reply",0.47764541853643133
79,"""vulnerability"" ""pericardial disease"" -is:retweet -is:quote -is:reply",0.5280756637324786
80,"""vulnerability"" ""peripheral vascular disease"" -is:retweet -is:quote -is:reply",0.5928910066882609
81,"""vulnerability"" ""rheumatic heart disease"" -is:retweet -is:quote -is:reply",0.528484885049553
82,"""vulnerability"" ""stroke"" -is:retweet -is:quote -is:reply",0.28795447113090683
83,"""vulnerability"" ""vascular disease"" -is:retweet -is:quote -is:reply",0.5606243913322798
84,"""vulnerability"" ""heart attack"" -is:retweet -is:quote -is:reply",0.429898222372792
85,"""vulnerability"" ""unstable angina"" -is:retweet -is:quote -is:reply",0.5083842621655551
86,"""vulnerability"" ""high blood pressure"" -is:retweet -is:quote -is:reply",0.48953935672957566
87,"""vulnerability"" ""children"" -is:retweet -is:quote -is:reply",0.3697051761150611
88,"""vulnerability"" ""child"" -is:retweet -is:quote -is:reply",0.3632857006345229
89,"""vulnerability"" ""kid"" -is:retweet -is:quote -is:reply",0
90,"""vulnerability"" ""youngster"" -is:retweet -is:quote -is:reply",0.23597919004910684
91,"""vulnerability"" ""minor"" -is:retweet -is:quote -is:reply",0.22486572251962528
92,"""vulnerability"" ""baby"" -is:retweet -is:quote -is:reply",0.04271676768192579
93,"""vulnerability"" ""girl"" -is:retweet -is:quote -is:reply",0.015177427017056813
94,"""vulnerability"" ""boy"" -is:retweet -is:quote -is:reply",0
95,"""vulnerability"" ""baby"" -is:retweet -is:quote -is:reply",0.04271676768192579
96,"""vulnerability"" ""teenager"" -is:retweet -is:quote -is:reply",0.05177446907009084
97,"""vulnerability"" ""infant"" -is:retweet -is:quote -is:reply",0.2732123153117031
98,"""vulnerability"" ""adolescent"" -is:retweet -is:quote -is:reply",0.42255472621728435
99,"""vulnerability"" ""juvenile"" -is:retweet -is:quote -is:reply",0.2132870509830474
100,"""vulnerability"" ""kiddie"" -is:retweet -is:quote -is:reply",0
101,"""vulnerability"" ""youth"" -is:retweet -is:quote -is:reply",0.28715183625552154
102,"""vulnerability"" ""fitness"" -is:retweet -is:quote -is:reply",0.4069985746685655
103,"""vulnerability"" ""physical fitness"" -is:retweet -is:quote -is:reply",0.5851404641444432
104,"""exposure"" ""habit"" -is:retweet -is:quote -is:reply",0.27819611078783346
105,"""exposure"" ""substance abuse"" -is:retweet -is:quote -is:reply",0.5765009966685326
106,"""exposure"" ""drug abuse"" -is:retweet -is:quote -is:reply",0.4458607577734371
107,"""exposure"" ""lifestyle"" -is:retweet -is:quote -is:reply",0.42556390686842266
108,"""exposure"" ""life style"" -is:retweet -is:quote -is:reply",0.375440019960607
109,"""exposure"" ""life-style"" -is:retweet -is:quote -is:reply",0.3594838880248742
110,"""exposure"" ""diet"" -is:retweet -is:quote -is:reply",0.34888321244241366
111,"""exposure"" ""dieting"" -is:retweet -is:quote -is:reply",0.5417094492579363
112,"""exposure"" ""food"" -is:retweet -is:quote -is:reply",0.3001784511489793
113,"""exposure"" ""nutrient"" -is:retweet -is:quote -is:reply",0.4842091963705174
114,"""exposure"" ""solid food"" -is:retweet -is:quote -is:reply",0.35946501637520534
115,"""exposure"" ""healthy food"" -is:retweet -is:quote -is:reply",0.39679123550244844
116,"""exposure"" ""obesity"" -is:retweet -is:quote -is:reply",0.46952344568024573
117,"""exposure"" ""overweight"" -is:retweet -is:quote -is:reply",0.5367490493417455
118,"""exposure"" ""anorexia"" -is:retweet -is:quote -is:reply",0.2227257858409163
119,"""exposure"" ""bulimia"" -is:retweet -is:quote -is:reply",0.12260180310219343
120,"""exposure"" ""underweight"" -is:retweet -is:quote -is:reply",0.5048014967872818
121,"""exposure"" ""nutrition"" -is:retweet -is:quote -is:reply",0.5075905816253106
122,"""exposure"" ""nutriment"" -is:retweet -is:quote -is:reply",0.5937488104429252
123,"""exposure"" ""nourishment"" -is:retweet -is:quote -is:reply",0.4989973574078199
124,"""exposure"" ""sustenance"" -is:retweet -is:quote -is:reply",0.4730776390001796
125,"""exposure"" ""aliment"" -is:retweet -is:quote -is:reply",0.39738718546385
126,"""exposure"" ""alimentation"" -is:retweet -is:quote -is:reply",0.5108146727801247
127,"""exposure"" ""victuals"" -is:retweet -is:quote -is:reply",0.22891707076242127
128,"""exposure"" ""economical resources"" -is:retweet -is:quote -is:reply",0.5060640387548379
129,"""exposure"" ""physical exercise"" -is:retweet -is:quote -is:reply",0.5770665213319466
130,"""exposure"" ""exercise"" -is:retweet -is:quote -is:reply",0.4879566253032369
131,"""exposure"" ""exercising"" -is:retweet -is:quote -is:reply",0.5466784726394859
132,"""exposure"" ""physical exertion"" -is:retweet -is:quote -is:reply",0.6271278077431579
133,"""exposure"" ""workout"" -is:retweet -is:quote -is:reply",0.3279339899053893
134,"""exposure"" ""sleep quality"" -is:retweet -is:quote -is:reply",0.5326379058514222
135,"""exposure"" ""sexual education"" -is:retweet -is:quote -is:reply",0.4694597295587513
136,"""exposure"" ""activities"" -is:retweet -is:quote -is:reply",0.5035610291221404
137,"""exposure"" ""activity"" -is:retweet -is:quote -is:reply",0.6340658297895425
138,"""exposure"" ""activeness"" -is:retweet -is:quote -is:reply",0.6285354119770128
139,"""exposure"" ""bodily process"" -is:retweet -is:quote -is:reply",0.5158493610948613
140,"""exposure"" ""body process"" -is:retweet -is:quote -is:reply",0.4915795752969269
141,"""exposure"" ""bodily function"" -is:retweet -is:quote -is:reply",0.5283117921887546
142,"""exposure"" ""natural process"" -is:retweet -is:quote -is:reply",0.5361624782877227
143,"""exposure"" ""natural action"" -is:retweet -is:quote -is:reply",0.5373805554403569
144,"""exposure"" ""computer"" -is:retweet -is:quote -is:reply",0.3589959651778695
145,"""exposure"" ""computing machine"" -is:retweet -is:quote -is:reply",0.4387991403439338
146,"""exposure"" ""computing device"" -is:retweet -is:quote -is:reply",0.4975943669779324
147,"""exposure"" ""information processing system"" -is:retweet -is:quote -is:reply",0.5504600501503348
148,"""exposure"" ""smartphone"" -is:retweet -is:quote -is:reply",0.29146230668605994
149,"""exposure"" ""IPhone"" -is:retweet -is:quote -is:reply",0.09591336469271555
150,"""exposure"" ""Android"" -is:retweet -is:quote -is:reply",0.10989438324211209
151,"""exposure"" ""television"" -is:retweet -is:quote -is:reply",0.24489691533011718
152,"""exposure"" ""tv"" -is:retweet -is:quote -is:reply",0
153,"""exposure"" ""tv set"" -is:retweet -is:quote -is:reply",0.12166099705012476
154,"""exposure"" ""health"" -is:retweet -is:quote -is:reply",0.4811084318998766
155,"""exposure"" ""wellness"" -is:retweet -is:quote -is:reply",0.4823066610867456
156,"""exposure"" ""noncommunicable disease"" -is:retweet -is:quote -is:reply",0.6011718509627033
157,"""exposure"" ""NCD"" -is:retweet -is:quote -is:reply",0.20246041323672015
158,"""exposure"" ""chronic disease"" -is:retweet -is:quote -is:reply",0.5837088811874391
159,"""exposure"" ""disease"" -is:retweet -is:quote -is:reply",0.5166605373503632
160,"""exposure"" ""chronic respiratory disease"" -is:retweet -is:quote -is:reply",0.6319652373720739
161,"""exposure"" ""asthma"" -is:retweet -is:quote -is:reply",0.4181675360893292
162,"""exposure"" ""chronic obstructive pulmonary disease"" -is:retweet -is:quote -is:reply",0.6151314154893214
163,"""exposure"" ""COPD"" -is:retweet -is:quote -is:reply",0.3453444435652792
164,"""exposure"" ""lung cancer"" -is:retweet -is:quote -is:reply",0.46440517516715263
165,"""exposure"" ""cystic fibrosis"" -is:retweet -is:quote -is:reply",0.4408288600975065
166,"""exposure"" ""sleep apnea"" -is:retweet -is:quote -is:reply",0.3336137678412614
167,"""exposure"" ""occupational lung disease"" -is:retweet -is:quote -is:reply",0.6242399585540037
168,"""exposure"" ""cancer"" -is:retweet -is:quote -is:reply",0.4236537064941643
169,"""exposure"" ""tumor"" -is:retweet -is:quote -is:reply",0.36983446540401427
170,"""exposure"" ""carcinoma"" -is:retweet -is:quote -is:reply",0.361709051913277
171,"""exposure"" ""melanoma"" -is:retweet -is:quote -is:reply",0.439566119836829
172,"""exposure"" ""malignancy"" -is:retweet -is:quote -is:reply",0.5304268188007452
173,"""exposure"" ""lymphoma"" -is:retweet -is:quote -is:reply",0.33156365146026795
174,"""exposure"" ""malignant neoplastic disease"" -is:retweet -is:quote -is:reply",0.5701695995508822
175,"""exposure"" ""diabetes"" -is:retweet -is:quote -is:reply",0.42109677987048866
176,"""exposure"" ""insulin-dependent"" -is:retweet -is:quote -is:reply",0.42166444535607367
177,"""exposure"" ""cardiovascular disease"" -is:retweet -is:quote -is:reply",0.5925522623099349
178,"""exposure"" ""heart failure"" -is:retweet -is:quote -is:reply",0.41732346206480403
179,"""exposure"" ""heart muscle disease"" -is:retweet -is:quote -is:reply",0.47255329667542845
180,"""exposure"" ""cardiomyopathy"" -is:retweet -is:quote -is:reply",0.4619123820909188
181,"""exposure"" ""heart valve disease"" -is:retweet -is:quote -is:reply",0.4494667137572418
182,"""exposure"" ""pericardial disease"" -is:retweet -is:quote -is:reply",0.5712239001283428
183,"""exposure"" ""peripheral vascular disease"" -is:retweet -is:quote -is:reply",0.5921856506022078
184,"""exposure"" ""rheumatic heart disease"" -is:retweet -is:quote -is:reply",0.4965976175367793
185,"""exposure"" ""stroke"" -is:retweet -is:quote -is:reply",0.37177024417565113
186,"""exposure"" ""vascular disease"" -is:retweet -is:quote -is:reply",0.5643342880863932
187,"""exposure"" ""heart attack"" -is:retweet -is:quote -is:reply",0.3588589247321344
188,"""exposure"" ""unstable angina"" -is:retweet -is:quote -is:reply",0.4701201814737971
189,"""exposure"" ""high blood pressure"" -is:retweet -is:quote -is:reply",0.5448293741715203
190,"""exposure"" ""children"" -is:retweet -is:quote -is:reply",0.3461288332715944
191,"""exposure"" ""child"" -is:retweet -is:quote -is:reply",0.3094427949128312
192,"""exposure"" ""kid"" -is:retweet -is:quote -is:reply",0
193,"""exposure"" ""youngster"" -is:retweet -is:quote -is:reply",0.21438763798614371
194,"""exposure"" ""minor"" -is:retweet -is:quote -is:reply",0.22515335582004808
195,"""exposure"" ""baby"" -is:retweet -is:quote -is:reply",0.11785374257330981
196,"""exposure"" ""girl"" -is:retweet -is:quote -is:reply",0.012091638309041166
197,"""exposure"" ""boy"" -is:retweet -is:quote -is:reply",0
198,"""exposure"" ""baby"" -is:retweet -is:quote -is:reply",0.11785374257330981
199,"""exposure"" ""teenager"" -is:retweet -is:quote -is:reply",0.06783834885507915
200,"""exposure"" ""infant"" -is:retweet -is:quote -is:reply",0.3132682833631974
201,"""exposure"" ""adolescent"" -is:retweet -is:quote -is:reply",0.4270750831169078
202,"""exposure"" ""juvenile"" -is:retweet -is:quote -is:reply",0.21830905593214855
203,"""exposure"" ""kiddie"" -is:retweet -is:quote -is:reply",0
204,"""exposure"" ""youth"" -is:retweet -is:quote -is:reply",0.19883401070181958
205,"""exposure"" ""fitness"" -is:retweet -is:quote -is:reply",0.40487138152087404
206,"""exposure"" ""physical fitness"" -is:retweet -is:quote -is:reply",0.5267035294447076
207,"""habit"" ""lifestyle"" -is:retweet -is:quote -is:reply",0.4685736345138125
208,"""habit"" ""life style"" -is:retweet -is:quote -is:reply",0.43929406616275907
209,"""habit"" ""life-style"" -is:retweet -is:quote -is:reply",0.29552200498611164
210,"""habit"" ""diet"" -is:retweet -is:quote -is:reply",0.4475003014060817
211,"""habit"" ""dieting"" -is:retweet -is:quote -is:reply",0.37692563335074447
212,"""habit"" ""food"" -is:retweet -is:quote -is:reply",0.24582771225637012
213,"""habit"" ""nutrient"" -is:retweet -is:quote -is:reply",0.3463747127805854
214,"""habit"" ""solid food"" -is:retweet -is:quote -is:reply",0.2723812604124531
215,"""habit"" ""healthy food"" -is:retweet -is:quote -is:reply",0.34264495623026064
216,"""habit"" ""obesity"" -is:retweet -is:quote -is:reply",0.30830899355047
217,"""habit"" ""overweight"" -is:retweet -is:quote -is:reply",0.3499872118478654
218,"""habit"" ""anorexia"" -is:retweet -is:quote -is:reply",0.24211486136437577
219,"""habit"" ""bulimia"" -is:retweet -is:quote -is:reply",0.1790899104446308
220,"""habit"" ""underweight"" -is:retweet -is:quote -is:reply",0.25044453425358765
221,"""habit"" ""nutrition"" -is:retweet -is:quote -is:reply",0.24877011554934178
222,"""habit"" ""nutriment"" -is:retweet -is:quote -is:reply",0.3176697645301911
223,"""habit"" ""nourishment"" -is:retweet -is:quote -is:reply",0.3671456109046066
224,"""habit"" ""sustenance"" -is:retweet -is:quote -is:reply",0.316536999396235
225,"""habit"" ""aliment"" -is:retweet -is:quote -is:reply",0.2251809886638997
226,"""habit"" ""alimentation"" -is:retweet -is:quote -is:reply",0.17209280466151775
227,"""habit"" ""victuals"" -is:retweet -is:quote -is:reply",0.2693339248926598
228,"""habit"" ""economical resources"" -is:retweet -is:quote -is:reply",0.22455992757253376
229,"""habit"" ""physical exercise"" -is:retweet -is:quote -is:reply",0.38802489423683345
230,"""habit"" ""exercise"" -is:retweet -is:quote -is:reply",0.4001206427549089
231,"""habit"" ""exercising"" -is:retweet -is:quote -is:reply",0.39831484049072796
232,"""habit"" ""physical exertion"" -is:retweet -is:quote -is:reply",0.31926852697820135
233,"""habit"" ""workout"" -is:retweet -is:quote -is:reply",0.28014231712785886
234,"""habit"" ""sleep quality"" -is:retweet -is:quote -is:reply",0.3701607506938243
235,"""habit"" ""sexual education"" -is:retweet -is:quote -is:reply",0.24364859559643046
236,"""habit"" ""activities"" -is:retweet -is:quote -is:reply",0.25766045296921847
237,"""habit"" ""activity"" -is:retweet -is:quote -is:reply",0.32153795312814687
238,"""habit"" ""activeness"" -is:retweet -is:quote -is:reply",0.31423730392600835
239,"""habit"" ""bodily process"" -is:retweet -is:quote -is:reply",0.3832858682721492
240,"""habit"" ""body process"" -is:retweet -is:quote -is:reply",0.39828142597848576
241,"""habit"" ""bodily function"" -is:retweet -is:quote -is:reply",0.3277424889910956
242,"""habit"" ""natural process"" -is:retweet -is:quote -is:reply",0.3644078800623283
243,"""habit"" ""natural action"" -is:retweet -is:quote -is:reply",0.26021516149778673
244,"""habit"" ""computer"" -is:retweet -is:quote -is:reply",0.20240139645431585
245,"""habit"" ""computing machine"" -is:retweet -is:quote -is:reply",0.24649718448077426
246,"""habit"" ""computing device"" -is:retweet -is:quote -is:reply",0.23953310962994634
247,"""habit"" ""information processing system"" -is:retweet -is:quote -is:reply",0.21511526397927586
248,"""habit"" ""smartphone"" -is:retweet -is:quote -is:reply",0.19262498391676697
249,"""habit"" ""IPhone"" -is:retweet -is:quote -is:reply",0.02655474865100933
250,"""habit"" ""Android"" -is:retweet -is:quote -is:reply",0.033246749377946104
251,"""habit"" ""television"" -is:retweet -is:quote -is:reply",0
252,"""habit"" ""tv"" -is:retweet -is:quote -is:reply",0
253,"""habit"" ""tv set"" -is:retweet -is:quote -is:reply",0
254,"""habit"" ""health"" -is:retweet -is:quote -is:reply",0.20479560752598047
255,"""habit"" ""wellness"" -is:retweet -is:quote -is:reply",0.2915970033163189
256,"""habit"" ""noncommunicable disease"" -is:retweet -is:quote -is:reply",0.3105756778197115
257,"""habit"" ""NCD"" -is:retweet -is:quote -is:reply",0
258,"""habit"" ""chronic disease"" -is:retweet -is:quote -is:reply",0.30912531949837596
259,"""habit"" ""disease"" -is:retweet -is:quote -is:reply",0.2927786328469253
260,"""habit"" ""chronic respiratory disease"" -is:retweet -is:quote -is:reply",0.2997474519329484
261,"""habit"" ""asthma"" -is:retweet -is:quote -is:reply",0.2481533433965743
262,"""habit"" ""chronic obstructive pulmonary disease"" -is:retweet -is:quote -is:reply",0.32987130238659024
263,"""habit"" ""COPD"" -is:retweet -is:quote -is:reply",0.1506257481602531
264,"""habit"" ""lung cancer"" -is:retweet -is:quote -is:reply",0.21670354831490474
265,"""habit"" ""cystic fibrosis"" -is:retweet -is:quote -is:reply",0.24618619066257802
266,"""habit"" ""sleep apnea"" -is:retweet -is:quote -is:reply",0.3100351454117737
267,"""habit"" ""occupational lung disease"" -is:retweet -is:quote -is:reply",0.277234912277657
268,"""habit"" ""cancer"" -is:retweet -is:quote -is:reply",0.19034795724085882
269,"""habit"" ""tumor"" -is:retweet -is:quote -is:reply",0.26217075854217087
270,"""habit"" ""carcinoma"" -is:retweet -is:quote -is:reply",0.16757605405768206
271,"""habit"" ""melanoma"" -is:retweet -is:quote -is:reply",0.2427332896942647
272,"""habit"" ""malignancy"" -is:retweet -is:quote -is:reply",0.2991133704450732
273,"""habit"" ""lymphoma"" -is:retweet -is:quote -is:reply",0.1517369611199505
274,"""habit"" ""malignant neoplastic disease"" -is:retweet -is:quote -is:reply",0.34349965576897384
275,"""habit"" ""diabetes"" -is:retweet -is:quote -is:reply",0.254885764179113
276,"""habit"" ""insulin-dependent"" -is:retweet -is:quote -is:reply",0.15452466283662433
277,"""habit"" ""cardiovascular disease"" -is:retweet -is:quote -is:reply",0.2917064165481874
278,"""habit"" ""heart failure"" -is:retweet -is:quote -is:reply",0.3017667504705479
279,"""habit"" ""heart muscle disease"" -is:retweet -is:quote -is:reply",0.38484633667386753
280,"""habit"" ""cardiomyopathy"" -is:retweet -is:quote -is:reply",0.2854094456394295
281,"""habit"" ""heart valve disease"" -is:retweet -is:quote -is:reply",0.33439644347971437
282,"""habit"" ""pericardial disease"" -is:retweet -is:quote -is:reply",0.31696445548371904
283,"""habit"" ""peripheral vascular disease"" -is:retweet -is:quote -is:reply",0.28815103263872277
284,"""habit"" ""rheumatic heart disease"" -is:retweet -is:quote -is:reply",0.35712355073835367
285,"""habit"" ""stroke"" -is:retweet -is:quote -is:reply",0.20772277451831728
286,"""habit"" ""vascular disease"" -is:retweet -is:quote -is:reply",0.2935410669080341
287,"""habit"" ""heart attack"" -is:retweet -is:quote -is:reply",0.2598588996643526
288,"""habit"" ""unstable angina"" -is:retweet -is:quote -is:reply",0.2797873379281896
289,"""habit"" ""high blood pressure"" -is:retweet -is:quote -is:reply",0.2250147628854761
290,"""habit"" ""children"" -is:retweet -is:quote -is:reply",0.24640417710988388
291,"""habit"" ""child"" -is:retweet -is:quote -is:reply",0.3061188314947823
292,"""habit"" ""kid"" -is:retweet -is:quote -is:reply",0.26135124191279335
293,"""habit"" ""youngster"" -is:retweet -is:quote -is:reply",0.2927110718178046
294,"""habit"" ""minor"" -is:retweet -is:quote -is:reply",0.10844850937266019
295,"""habit"" ""baby"" -is:retweet -is:quote -is:reply",0.25829800282951926
296,"""habit"" ""girl"" -is:retweet -is:quote -is:reply",0.2284458085771989
297,"""habit"" ""boy"" -is:retweet -is:quote -is:reply",0.1953324105082314
298,"""habit"" ""baby"" -is:retweet -is:quote -is:reply",0.25829800282951926
299,"""habit"" ""teenager"" -is:retweet -is:quote -is:reply",0.20151872161392617
300,"""habit"" ""infant"" -is:retweet -is:quote -is:reply",0.22731427126214657
301,"""habit"" ""adolescent"" -is:retweet -is:quote -is:reply",0.2811658705453676
302,"""habit"" ""juvenile"" -is:retweet -is:quote -is:reply",0.2153886921331189
303,"""habit"" ""kiddie"" -is:retweet -is:quote -is:reply",0.011938411092173513
304,"""habit"" ""youth"" -is:retweet -is:quote -is:reply",0.1672073501188905
305,"""habit"" ""fitness"" -is:retweet -is:quote -is:reply",0.2625437438824633
306,"""habit"" ""physical fitness"" -is:retweet -is:quote -is:reply",0.31353317458814517
307,"""substance abuse"" ""lifestyle"" -is:retweet -is:quote -is:reply",0.31805385169533373
308,"""substance abuse"" ""life style"" -is:retweet -is:quote -is:reply",0.2917444349056235
309,"""substance abuse"" ""life-style"" -is:retweet -is:quote -is:reply",0.2433738791788319
310,"""substance abuse"" ""diet"" -is:retweet -is:quote -is:reply",0.23154498148585317
311,"""substance abuse"" ""dieting"" -is:retweet -is:quote -is:reply",0.4761487912987947
312,"""substance abuse"" ""food"" -is:retweet -is:quote -is:reply",0.21153572941386073
313,"""substance abuse"" ""nutrient"" -is:retweet -is:quote -is:reply",0.30486156758861005
314,"""substance abuse"" ""solid food"" -is:retweet -is:quote -is:reply",0.2474669160761255
315,"""substance abuse"" ""healthy food"" -is:retweet -is:quote -is:reply",0.30008274812204005
316,"""substance abuse"" ""obesity"" -is:retweet -is:quote -is:reply",0.4866305985432751
317,"""substance abuse"" ""overweight"" -is:retweet -is:quote -is:reply",0.4488034679100978
318,"""substance abuse"" ""anorexia"" -is:retweet -is:quote -is:reply",0.34010488768616176
319,"""substance abuse"" ""bulimia"" -is:retweet -is:quote -is:reply",0.2814521683254892
320,"""substance abuse"" ""underweight"" -is:retweet -is:quote -is:reply",0.4192424172773061
321,"""substance abuse"" ""nutrition"" -is:retweet -is:quote -is:reply",0.4211849908128882
322,"""substance abuse"" ""nutriment"" -is:retweet -is:quote -is:reply",0.4529997815529235
323,"""substance abuse"" ""nourishment"" -is:retweet -is:quote -is:reply",0.4892900840630918
324,"""substance abuse"" ""sustenance"" -is:retweet -is:quote -is:reply",0.40865389653752465
