queryID,query
11,"""chemical dependency"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
12,"""healthy lifestyle"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
13,"""healthy life style"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
14,"""healthy life-style"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
15,"""diet"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
16,"""dieting"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
17,"""overeating"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
18,"""obesity"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
19,"""overweight"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
20,"""anorexia"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
21,"""bulimia"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
22,"""underweight"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
23,"""food"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
24,"""nutrition"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
25,"""nutriment"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
26,"""nutrient"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
27,"""nourishment"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
28,"""sustenance"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
29,"""aliment"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
30,"""alimentation"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
31,"""healthy food"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
32,"""physical exercise"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
33,"""exercise"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
34,"""exercising"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
35,"""physical exertion"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
36,"""workout"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
37,"""fitness"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
38,"""physical fitness"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
39,"""sedentary"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
40,"""inactivity"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
41,"""lack of exercise"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
42,"""procrastination"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
43,"""laziness"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
44,"""sleep quality"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
45,"""fatigue"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
46,"""insomnia"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
47,"""misinformation"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
48,"""disinformation"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
49,"""screen time"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
50,"""smartphone"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
51,"""IPhone"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
52,"""Android"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
53,"""television"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
54,"""tv"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
55,"""social media"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
56,"""noncommunicable disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
57,"""risk factors"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
58,"""risk behaviors"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
59,"""autism"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
60,"""ADHD"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
61,"""NCD"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
62,"""chronic disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
63,"""chronic respiratory disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
64,"""asthma"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
65,"""chronic obstructive pulmonary disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
66,"""COPD"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
67,"""lung cancer"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
68,"""cystic fibrosis"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
69,"""sleep apnea"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
70,"""occupational lung disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
71,"""cancer"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
72,"""tumor"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
73,"""carcinoma"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
74,"""melanoma"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
75,"""malignancy"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
76,"""lymphoma"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
77,"""malignant neoplastic disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
78,"""diabetes"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
79,"""insulin-dependent"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
80,"""cardiovascular disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
81,"""heart failure"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
82,"""heart muscle disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
83,"""cardiomyopathy"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
84,"""heart valve disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
85,"""pericardial disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
86,"""peripheral vascular disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
87,"""rheumatic heart disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
88,"""stroke"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
89,"""vascular disease"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
90,"""heart attack"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
91,"""unstable angina"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
92,"""high blood pressure"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
93,"""mental health"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
